relation_id,relation_type,source_entity_id,target_text,file,line,group_id,signature,resolution_status,failure_reason,observed_products
"R183","METHOD_CALL","E19","tankMalen","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset10",36,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R185","CONSTRUCTOR_CALL","E23","Vector","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",12,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R187","CONSTRUCTOR_CALL","E24","Vector","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",13,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R189","CONSTRUCTOR_CALL","E25","Vector","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",14,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R191","CONSTRUCTOR_CALL","E26","Vector","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",15,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R193","CONSTRUCTOR_CALL","E27","Vector","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",16,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R195","CONSTRUCTOR_CALL","E28","Vector","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",17,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R240","METHOD_CALL","E57","getClassLoader","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",60,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R241","METHOD_CALL","E57","getResourceAsStream","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",60,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R243","METHOD_CALL","E57","read","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",61,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R244","METHOD_CALL","E57","close","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",62,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R245","CONSTRUCTOR_CALL","E57","String","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",63,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R251","METHOD_CALL","E57","println","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",70,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R252","METHOD_CALL","E57","toCharArray","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",71,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R258","METHOD_CALL","E57","println","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",75,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R274","METHOD_CALL","E57","addElement","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",82,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R291","METHOD_CALL","E57","addElement","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",89,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R308","METHOD_CALL","E57","addElement","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",96,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R325","METHOD_CALL","E57","addElement","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",103,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R329","CONSTRUCTOR_CALL","E57","Integer","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",107,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R333","METHOD_CALL","E57","addElement","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",108,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R340","CONSTRUCTOR_CALL","E57","Integer","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",118,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R344","METHOD_CALL","E57","addElement","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11",119,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R353","EXTENDS","E59","Maler$$M_600","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",28,"G10","TankWar_P1|TankWar_P4|TankWar_P5","AMBIGUOUS","ambiguous target","TankWar_P1|TankWar_P4|TankWar_P5"
"R356","CONSTRUCTOR_CALL","E62","HashMap","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",35,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R360","CONSTRUCTOR_CALL","E63","super","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",37,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","UNRESOLVED","unresolved target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R366","METHOD_CALL","E64","get","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",42,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R370","METHOD_CALL","E64","println","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",46,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R371","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",48,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R373","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",51,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R375","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",54,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R377","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",57,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R379","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",60,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R381","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",63,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R383","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",66,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R385","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",69,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R387","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",72,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R389","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",75,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R391","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",78,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R393","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",81,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R395","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",84,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R397","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",87,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R399","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",90,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R401","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",93,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R403","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",96,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R405","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",99,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R407","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",102,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R409","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",105,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R411","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",108,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R413","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",111,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R415","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",114,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R417","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",117,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R419","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",120,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R421","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",123,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
"R423","METHOD_CALL","E64","equals","C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13",126,"G4","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5","RESOLVED_EXTERNAL","external target","TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5"
