relation_id,source_block_id,target_block_id,source_entity_id,target_entity_id,target_text,relation_type,source_file,source_line,source_group_id,target_group_id,source_signature,target_signature,source_entity_role,target_entity_role,dependency_strength,domain_relevance,requires_relevance,exclusion_reason,resolution_status,observed_product_set
D704,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:IF:8-248,E11,E689,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,31,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D705,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E268,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,32,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D706,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset9:IF:8-248,E11,E689,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,32,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D707,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E265,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,33,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D708,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E264,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,34,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D709,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E263,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,35,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D710,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,E11,E2,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,36,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,INTRA_BLOCK,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D711,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,E11,E8,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,37,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,INTRA_BLOCK,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D712,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,E11,E7,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,40,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,INTRA_BLOCK,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D713,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E260,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,42,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D714,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E262,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,43,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D715,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E270,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,46,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D716,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E268,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,47,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D717,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E270,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,47,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D718,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E268,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,48,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D719,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E260,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,49,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D720,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E262,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,50,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D721,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E260,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,53,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D722,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E262,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,54,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D723,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E270,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,57,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D724,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E268,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,58,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D725,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E270,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,58,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D726,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E268,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,59,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D727,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E260,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,60,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D728,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E262,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,61,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D729,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,E11,E5,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,64,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,INTRA_BLOCK,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D730,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E260,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,65,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D731,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,E11,E3,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,65,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,INTRA_BLOCK,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D732,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,E11,E262,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,66,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,NONE,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D733,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,E11,E4,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,66,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,INTRA_BLOCK,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D734,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,E12,E5,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,69,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,INTRA_BLOCK,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
D735,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1:IF:8-128,E12,E5,,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset1,70,G4,G4,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,UNKNOWN,UNKNOWN,0.600,0.200,LOW,INTRA_BLOCK,RESOLVED_INTERNAL,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5
