candidate_id,source_entity,source_entity_type,target_entity,target_entity_type,dependency_kind,source_block_id,target_block_id,source_asset_id,target_asset_id,same_asset,source_is_outermost,target_is_outermost,cross_asset,source_products,target_products,signature_relation,occurrence_count,distinct_source_line_count,cross_file,cross_class,eligible_for_requires,candidate_status,exclusion_reason,requires_manual_inspection,confidence,primary_evidence_id
RC-0011,MapInfo.readMap,METHOD,MapInfo.brickWallLocationY,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D34
RC-0012,MapInfo.readMap,METHOD,MapInfo.brickWallWidth,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D35
RC-0013,MapInfo.readMap,METHOD,MapInfo.enemyAllNr,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D17
RC-0014,MapInfo.readMap,METHOD,MapInfo.enemyLocation,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D14
RC-0015,MapInfo.readMap,METHOD,MapInfo.enemyMaxNr,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D18
RC-0016,MapInfo.readMap,METHOD,MapInfo.enemyPosition,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D16
RC-0017,MapInfo.readMap,METHOD,MapInfo.enemyTy,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D19
RC-0018,MapInfo.readMap,METHOD,MapInfo.enemyType,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D21
RC-0019,MapInfo.readMap,METHOD,MapInfo.grassWall,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D60
RC-0020,MapInfo.readMap,METHOD,MapInfo.grassWallHeight,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D58
RC-0021,MapInfo.readMap,METHOD,MapInfo.grassWallLocationX,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D55
RC-0022,MapInfo.readMap,METHOD,MapInfo.grassWallLocationY,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D56
RC-0023,MapInfo.readMap,METHOD,MapInfo.grassWallWidth,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D57
RC-0024,MapInfo.readMap,METHOD,MapInfo.mapSize,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D30
RC-0025,MapInfo.readMap,METHOD,MapInfo.metalWall,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D49
RC-0026,MapInfo.readMap,METHOD,MapInfo.metalWallHeight,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D47
RC-0027,MapInfo.readMap,METHOD,MapInfo.metalWallLocationX,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D44
RC-0028,MapInfo.readMap,METHOD,MapInfo.metalWallLocationY,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D45
RC-0029,MapInfo.readMap,METHOD,MapInfo.metalWallWidth,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D46
RC-0030,MapInfo.readMap,METHOD,MapInfo.playerLocationX,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D22
RC-0031,MapInfo.readMap,METHOD,MapInfo.playerLocationY,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D23
RC-0032,MapInfo.readMap,METHOD,MapInfo.read,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D28
RC-0033,MapInfo.readMap,METHOD,MapInfo.tankManager,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,4,4,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D39
RC-0034,MapInfo.readMap,METHOD,MapInfo.waterWall,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,1,1,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D8
RC-0035,MapInfo.readMap,METHOD,MapInfo.waterWallHeight,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D6
RC-0036,MapInfo.readMap,METHOD,MapInfo.waterWallLocationX,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D66
RC-0037,MapInfo.readMap,METHOD,MapInfo.waterWallLocationY,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D4
RC-0038,MapInfo.readMap,METHOD,MapInfo.waterWallWidth,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,asset11,asset11,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D5
RC-0039,MapInfo.readMap,METHOD,Record.out,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset27:IF:7-116,asset11,asset27,false,true,true,true,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,TARGET_PROPER_SUBSET_OF_SOURCE,2,2,true,true,false,SIGNATURE_INCONSISTENT,SIGNATURE_INCONSISTENT,false,LOW,D29
RC-0040,MapInfo.readMap,METHOD,Wall.Wall,CONSTRUCTOR,CONSTRUCTOR_CALL,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset11:IF:8-132,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset5:IF:8-22,asset11,asset5,false,true,true,true,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,4,4,true,true,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D37
RC-0041,Maler$$fuer_PC,CLASS,Maler$$M_240,CLASS,EXTENDS,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:ELIF:29-31,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset66:IF:4-31,asset13,asset66,false,false,true,true,TankWar_P3,TankWar_P3,EQUAL,1,1,true,false,false,SAME_SIGNATURE_DIRECTED_DEPENDENCY,DIRECTION_NOT_IDENTIFIABLE,false,LOW,D141
RC-0042,Maler$$fuer_PC,CLASS,Maler$$M_780,CLASS,EXTENDS,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:ELIF:32-33,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset74:IF:4-30,asset13,asset74,false,false,true,true,TankWar_P2,TankWar_P2,EQUAL,1,1,true,false,false,SAME_SIGNATURE_DIRECTED_DEPENDENCY,DIRECTION_NOT_IDENTIFIABLE,false,LOW,D148
RC-0043,Maler$$fuer_PC.drawImage,METHOD,Maler$$fuer_PC.drawImage,METHOD,METHOD_CALL,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:8-358,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:8-358,asset13,asset13,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,SELF_DEPENDENCY,SELF_DEPENDENCY,false,LOW,D156
RC-0044,Maler$$fuer_PC.drawImage,METHOD,Maler$$fuer_PC.images,FIELD,FIELD_REFERENCE,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:8-358,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:8-358,asset13,asset13,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,2,2,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D155
RC-0045,Maler$$fuer_PC.drawImage,METHOD,Maler$$fuer_PC.loadimage,METHOD,METHOD_CALL,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:8-358,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset13:IF:8-358,asset13,asset13,true,true,true,false,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,EQUAL,99,99,false,false,false,COMMON_TARGET_DEPENDENCY,TARGET_PRESENT_IN_ALL_PRODUCTS,false,LOW,D158
