entity_id,qualified_name,entity_kind,entity_role,domain_score,variability_score,package_name,observed_product_set,classification_evidence
E12,Missile$$TankWar.malen,METHOD,UNKNOWN,0.200,0.050,Missile$$TankWar,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E120,Menu.Menu,CONSTRUCTOR,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E121,Menu.addLogo,METHOD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E122,Menu.setLogoKoordinate,METHOD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E123,Menu.setKoordinateImage,METHOD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E124,Menu.setZeileAbstand,METHOD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E125,Menu.setStyle,METHOD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E126,Menu.setWaehlbar,METHOD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E127,Menu.setFontSize,METHOD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E128,Menu.add,METHOD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E129,Menu.add,METHOD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E13,Missile$$TankWar.koordinateAktualisieren,METHOD,UNKNOWN,0.200,0.050,Missile$$TankWar,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E130,Menu.add,METHOD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E131,Menu.KeyBehandeln,METHOD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E132,Menu.erscheinen,METHOD,UNKNOWN,0.200,0.050,Menu,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E133,InfoPanel,CLASS,DOMAIN_SUPPORT,0.650,0.050,,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,matched domain-support token
E134,InfoPanel.maler,FIELD,UNKNOWN,0.200,0.050,InfoPanel,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E135,InfoPanel.behalter,FIELD,UNKNOWN,0.200,0.050,InfoPanel,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E136,InfoPanel.INFO_WIDTH,FIELD,UNKNOWN,0.200,0.050,InfoPanel,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E137,InfoPanel.InfoPanel,CONSTRUCTOR,DOMAIN_SUPPORT,0.650,0.050,InfoPanel,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,matched domain-support token
E138,InfoPanel.paint,METHOD,UNKNOWN,0.200,0.050,InfoPanel,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E139,Option,CLASS,UNKNOWN,0.200,0.050,,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E14,Missile$$TankWar.treffenErkennen,METHOD,UNKNOWN,0.200,0.050,Missile$$TankWar,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E140,Option.status,FIELD,UNKNOWN,0.200,0.050,Option,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E141,Option.str,FIELD,UNKNOWN,0.200,0.050,Option,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E142,Option.img,FIELD,UNKNOWN,0.200,0.050,Option,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E143,Option.img2,FIELD,UNKNOWN,0.200,0.050,Option,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E144,Option.prioritaet,FIELD,UNKNOWN,0.200,0.050,Option,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E145,Option.Option,CONSTRUCTOR,UNKNOWN,0.200,0.050,Option,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E146,Option.Option,CONSTRUCTOR,UNKNOWN,0.200,0.050,Option,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E147,Option.Option,CONSTRUCTOR,UNKNOWN,0.200,0.050,Option,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E148,GameManager$$TankWar,INTERFACE,UNKNOWN,0.200,0.050,,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E149,GameManager,INTERFACE,UNKNOWN,0.200,0.050,,TankWar_P2,no configured role token matched
E15,Missile$$TankWar.explodieren,METHOD,UNKNOWN,0.200,0.050,Missile$$TankWar,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E150,GameManager$$TankWar.MAIN_MENU,FIELD,APPLICATION_ORCHESTRATION,0.350,0.200,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,matched orchestration token
E151,GameManager.MAIN_MENU,FIELD,APPLICATION_ORCHESTRATION,0.350,0.200,GameManager,TankWar_P2,matched orchestration token
E152,GameManager$$TankWar.TANK_WAEHLEN,FIELD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E153,GameManager.TANK_WAEHLEN,FIELD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E154,GameManager$$TankWar.SPIELEN,FIELD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E155,GameManager.SPIELEN,FIELD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E156,GameManager$$TankWar.NOTE,FIELD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E157,GameManager.NOTE,FIELD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E158,GameManager$$TankWar.HELP,FIELD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E159,GameManager.HELP,FIELD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E16,Missile$$TankWar.remove,METHOD,UNKNOWN,0.200,0.050,Missile$$TankWar,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E160,GameManager$$TankWar.LIAN_WANG,FIELD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E161,GameManager.LIAN_WANG,FIELD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E162,GameManager$$TankWar.BANG_ZHU,FIELD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E163,GameManager.BANG_ZHU,FIELD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E164,GameManager$$TankWar.KAI_FA,FIELD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E165,GameManager.KAI_FA,FIELD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E166,GameManager$$TankWar.PAUSE,FIELD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E167,GameManager.PAUSE,FIELD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E168,GameManager$$TankWar.EXIT,FIELD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E169,GameManager.EXIT,FIELD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E17,Tank$$Tools,CLASS,UNKNOWN,0.200,0.050,,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E170,GameManager$$TankWar.NAME_VERGEBEN,FIELD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E171,GameManager.NAME_VERGEBEN,FIELD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E172,GameManager$$TankWar.LOSE,FIELD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E173,GameManager.LOSE,FIELD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E174,GameManager$$TankWar.LEVEL,FIELD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E175,GameManager.LEVEL,FIELD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E176,GameManager$$TankWar.WIN,FIELD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E177,GameManager.WIN,FIELD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E178,GameManager$$TankWar.aktualisieren,METHOD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E179,GameManager.aktualisieren,METHOD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E18,Tank$$Tools.Tank$$Tools,CONSTRUCTOR,UNKNOWN,0.200,0.050,Tank$$Tools,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E180,GameManager$$TankWar.malenkontrolle,METHOD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E181,GameManager.malenkontrolle,METHOD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E182,GameManager$$TankWar.keyPressBehandeln,METHOD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E183,GameManager.keyPressBehandeln,METHOD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E184,GameManager$$TankWar.keyReleaseBehandeln,METHOD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E185,GameManager.keyReleaseBehandeln,METHOD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E186,GameManager$$TankWar.setStatus,METHOD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E187,GameManager.setStatus,METHOD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E188,GameManager$$TankWar.getBlood,METHOD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E189,GameManager.getBlood,METHOD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E19,Tank$$Tools.malen,METHOD,UNKNOWN,0.200,0.050,Tank$$Tools,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E190,GameManager$$TankWar.getTankMenge,METHOD,UNKNOWN,0.200,0.050,GameManager$$TankWar,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E191,GameManager.getTankMenge,METHOD,UNKNOWN,0.200,0.050,GameManager,TankWar_P2,no configured role token matched
E192,Tool$$Tools,CLASS,UNKNOWN,0.200,0.050,,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E193,Tool$$Tools.time,FIELD,UNKNOWN,0.200,0.050,Tool$$Tools,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E194,Tool$$Tools.currTime,FIELD,UNKNOWN,0.200,0.050,Tool$$Tools,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E195,Tool$$Tools.tankId,FIELD,UNKNOWN,0.200,0.050,Tool$$Tools,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E196,Tool$$Tools.Tool$$Tools,CONSTRUCTOR,UNKNOWN,0.200,0.050,Tool$$Tools,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E197,Tool$$Tools.init,METHOD,UNKNOWN,0.200,0.050,Tool$$Tools,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E198,Tool$$Tools.malen,METHOD,UNKNOWN,0.200,0.050,Tool$$Tools,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E199,Tool$$Tools.toolMalen,METHOD,UNKNOWN,0.200,0.050,Tool$$Tools,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E2,Missile$$TankWar.geschwindigkeit,FIELD,UNKNOWN,0.200,0.050,Missile$$TankWar,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E20,Tank$$Tools.toolKontroller,METHOD,UNKNOWN,0.200,0.050,Tank$$Tools,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E200,Tool$$Tools.treffenErkennen,METHOD,UNKNOWN,0.200,0.050,Tool$$Tools,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E201,Tool$$Tools.remove,METHOD,UNKNOWN,0.200,0.050,Tool$$Tools,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E202,Maler$$PC,CLASS,UNKNOWN,0.200,0.050,,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E203,Maler$$PC.gameManager,FIELD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E204,Maler$$PC.GAME_WIDTH,FIELD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E205,Maler$$PC.GAME_HEIGHT,FIELD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E206,Maler$$PC.gTemp,FIELD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E207,Maler$$PC.offScreenImage,FIELD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E208,Maler$$PC.menu,FIELD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E209,Maler$$PC.frame,FIELD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E21,Tank$$Tools.toolBehandeln,METHOD,UNKNOWN,0.200,0.050,Tank$$Tools,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E210,Maler$$PC.infoPanel,FIELD,DOMAIN_SUPPORT,0.650,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,matched domain-support token
E211,Maler$$PC.infoWidth,FIELD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E212,Maler$$PC.status,FIELD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E213,Maler$$PC.time,FIELD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E214,Maler$$PC.tankType,FIELD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E215,Maler$$PC.tk,FIELD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E216,Maler$$PC.random,FIELD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E217,Maler$$PC.Maler$$PC,CONSTRUCTOR,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E218,Maler$$PC.init,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E219,Maler$$PC.windowClosing.init,METHOD,UNKNOWN,0.200,0.050,Maler$$PC.windowClosing,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E22,MapInfo,CLASS,UNKNOWN,0.200,0.050,,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E220,Maler$$PC.gamesize,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E221,Maler$$PC.paint,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E222,Maler$$PC.mainMenu,METHOD,APPLICATION_ORCHESTRATION,0.350,0.200,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,matched orchestration token
E223,Maler$$PC.mainMenuerstellen,METHOD,APPLICATION_ORCHESTRATION,0.350,0.200,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,matched orchestration token
E224,Maler$$PC.tankWaehlen,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E225,Maler$$PC.tankErstellen,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E226,Maler$$PC.help,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E227,Maler$$PC.helpItemErstellen,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E228,Maler$$PC.loadImage,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E229,Maler$$PC.gameLevel,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E23,MapInfo.brickWall,FIELD,UNKNOWN,0.200,0.050,MapInfo,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E230,Maler$$PC.gameLose,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E231,Maler$$PC.gameWin,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E232,Maler$$PC.gameExit,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E233,Maler$$PC.gamescreenstart,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E234,Maler$$PC.pause,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E235,Maler$$PC.keyPressedBehandeln,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E236,Maler$$PC.menuBehandeln,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E237,Maler$$PC.keyReleased,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E238,Maler$$PC.update,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E239,Maler$$PC.getScreenWidth,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E24,MapInfo.metalWall,FIELD,UNKNOWN,0.200,0.050,MapInfo,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E240,Maler$$PC.getScreenHeight,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
E241,Maler$$PC.setColor,METHOD,UNKNOWN,0.200,0.050,Maler$$PC,TankWar_P1|TankWar_P2|TankWar_P3|TankWar_P4|TankWar_P5,no configured role token matched
