block_id,group_id,signature,file,branch_type,start_line,end_line,nesting_depth
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset18:ELIF:11-12,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset18,ELIF,11,12,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset19:IF:8-51,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset19,IF,8,51,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset2:IF:8-332,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset2,IF,8,332,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset2:IF:26-27,G7,TankWar_P1|TankWar_P3|TankWar_P4|TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset2,IF,26,27,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset20:IF:8-41,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset20,IF,8,41,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset20:IF:9-10,G3,TankWar_P1|TankWar_P2|TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset20,IF,9,10,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset20:ELIF:11-12,G20,TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset20,ELIF,11,12,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset20:ELIF:13-14,G22,TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset20,ELIF,13,14,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset21:IF:8-24,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset21,IF,8,24,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22:IF:8-80,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset22,IF,8,80,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset23:IF:7-99,G7,TankWar_P1 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset23,IF,7,99,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset24:IF:7-24,G7,TankWar_P1 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset24,IF,7,24,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset25:IF:7-10,G7,TankWar_P1 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset25,IF,7,10,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset26:IF:7-21,G7,TankWar_P1 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset26,IF,7,21,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset26:IF:10-11,G18,TankWar_P3|TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset26,IF,10,11,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset27:IF:7-116,G7,TankWar_P1 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset27,IF,7,116,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:IF:7-57,G7,TankWar_P1 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28,IF,7,57,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:IF:8-9,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28,IF,8,9,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:IF:13-15,G20,TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28,IF,13,15,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:16-17,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28,ELIF,16,17,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:18-19,G22,TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28,ELIF,18,19,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:20-21,G1,TankWar_P1,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28,ELIF,20,21,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:IF:26-27,G18,TankWar_P3|TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28,IF,26,27,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28:ELIF:28-29,G11,TankWar_P1|TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset28,ELIF,28,29,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29:IF:6-26,G8,TankWar_P1 | TankWar_P3 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29,IF,6,26,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29:IF:7-8,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29,IF,7,8,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29:IF:12-13,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29,IF,12,13,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29:ELIF:14-15,G22,TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29,ELIF,14,15,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29:ELIF:16-17,G1,TankWar_P1,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset29,ELIF,16,17,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset3:IF:8-44,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset3,IF,8,44,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset3:IF:9-10,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset3,IF,9,10,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset3:IF:14-15,G15,TankWar_P2|TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset3,IF,14,15,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset30:IF:6-40,G16,TankWar_P2 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset30,IF,6,40,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset30:IF:9-10,G22,TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset30,IF,9,10,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset30:ELIF:11-13,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset30,ELIF,11,13,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset30:ELIF:14-16,G20,TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset30,ELIF,14,16,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset31:IF:6-25,G3,TankWar_P1 | TankWar_P2 | TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset31,IF,6,25,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset31:IF:7-8,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset31,IF,7,8,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset31:IF:12-13,G6,TankWar_P1|TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset31,IF,12,13,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset31:ELIF:14-16,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset31,ELIF,14,16,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset32:IF:6-40,G3,TankWar_P1 | TankWar_P2 | TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset32,IF,6,40,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset32:IF:24-26,G1,TankWar_P1,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset32,IF,24,26,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset32:ELIF:27-29,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset32,ELIF,27,29,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset32:ELIF:30-31,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset32,ELIF,30,31,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset33:IF:6-23,G3,TankWar_P1 | TankWar_P2 | TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset33,IF,6,23,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset33:IF:7-8,G6,TankWar_P1|TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset33,IF,7,8,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset33:ELIF:9-10,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset33,ELIF,9,10,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset34:IF:6-39,G8,TankWar_P1 | TankWar_P3 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset34,IF,6,39,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset34:IF:25-26,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset34,IF,25,26,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset34:ELIF:27-28,G1,TankWar_P1,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset34,ELIF,27,28,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset34:ELIF:29-30,G22,TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset34,ELIF,29,30,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset35:IF:6-37,G16,TankWar_P2 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset35,IF,6,37,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset35:IF:24-26,G21,TankWar_P4|TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset35,IF,24,26,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset35:ELIF:27-28,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset35,ELIF,27,28,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36:IF:6-27,G3,TankWar_P1 | TankWar_P2 | TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36,IF,6,27,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36:IF:7-8,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36,IF,7,8,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36:IF:12-13,G1,TankWar_P1,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36,IF,12,13,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36:ELIF:14-15,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36,ELIF,14,15,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36:ELIF:16-18,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset36,ELIF,16,18,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset37:IF:6-37,G3,TankWar_P1 | TankWar_P2 | TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset37,IF,6,37,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset37:IF:24-26,G6,TankWar_P1|TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset37,IF,24,26,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset37:ELIF:27-28,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset37,ELIF,27,28,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset38:IF:6-25,G16,TankWar_P2 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset38,IF,6,25,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset38:IF:9-11,G20,TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset38,IF,9,11,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset38:ELIF:12-14,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset38,ELIF,12,14,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset38:ELIF:15-16,G22,TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset38,ELIF,15,16,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset39:IF:6-46,G8,TankWar_P1 | TankWar_P3 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset39,IF,6,46,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset39:IF:9-11,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset39,IF,9,11,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset39:ELIF:12-13,G1,TankWar_P1,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset39,ELIF,12,13,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset39:ELIF:14-15,G22,TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset39,ELIF,14,15,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset4:IF:8-26,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset4,IF,8,26,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset40:IF:6-39,G10,TankWar_P1 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset40,IF,6,39,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset40:IF:25-26,G20,TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset40,IF,25,26,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset40:ELIF:27-28,G22,TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset40,ELIF,27,28,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset40:ELIF:29-30,G1,TankWar_P1,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset40,ELIF,29,30,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset41:IF:6-48,G3,TankWar_P1 | TankWar_P2 | TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset41,IF,6,48,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset41:IF:9-11,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset41,IF,9,11,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset41:ELIF:12-14,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset41,ELIF,12,14,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset41:ELIF:15-16,G1,TankWar_P1,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset41,ELIF,15,16,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset42:IF:6-23,G16,TankWar_P2 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset42,IF,6,23,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset42:IF:7-8,G21,TankWar_P4|TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset42,IF,7,8,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset42:ELIF:9-10,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset42,ELIF,9,10,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset43:IF:6-25,G8,TankWar_P1 | TankWar_P3 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset43,IF,6,25,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset43:IF:7-8,G22,TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset43,IF,7,8,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset43:ELIF:9-10,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset43,ELIF,9,10,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset43:ELIF:11-12,G1,TankWar_P1,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset43,ELIF,11,12,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset44:IF:6-23,G3,TankWar_P1 | TankWar_P2 | TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset44,IF,6,23,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset44:IF:7-8,G1,TankWar_P1,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset44,IF,7,8,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset44:ELIF:9-10,G13,TankWar_P2|TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset44,ELIF,9,10,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset45:IF:6-38,G14,TankWar_P2 | TankWar_P3 | TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset45,IF,6,38,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset45:IF:8-9,G15,TankWar_P2|TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset45,IF,8,9,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset45:ELIF:10-11,G17,TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset45,ELIF,10,11,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset46:IF:6-50,G3,TankWar_P1 | TankWar_P2 | TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset46,IF,6,50,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset46:IF:9-10,G1,TankWar_P1,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset46,IF,9,10,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset46:ELIF:11-13,G13,TankWar_P2|TankWar_P3,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset46,ELIF,11,13,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset47:IF:6-53,G14,TankWar_P2 | TankWar_P3 | TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset47,IF,6,53,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset48:IF:6-58,G14,TankWar_P2 | TankWar_P3 | TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset48,IF,6,58,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset48:IF:10-11,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset48,IF,10,11,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset48:ELIF:12-13,G18,TankWar_P3|TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset48,ELIF,12,13,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset49:IF:5-132,G19,TankWar_P3 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset49,IF,5,132,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset5:IF:8-22,G4,TankWar_P1 | TankWar_P2 | TankWar_P3 | TankWar_P4 | TankWar_P5,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset5,IF,8,22,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset50:IF:5-21,G9,TankWar_P1 | TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset50,IF,5,21,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset50:IF:8-10,G20,TankWar_P4,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset50,IF,8,10,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset50:ELIF:11-12,G1,TankWar_P1,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset50,ELIF,11,12,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset51:IF:5-39,G2,TankWar_P1 | TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset51,IF,5,39,0
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset51:IF:23-24,G12,TankWar_P2,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset51,IF,23,24,1
C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset51:ELIF:25-27,G1,TankWar_P1,C:\Users\JBNU\git\ConstraintsRecovery\assets\tankwar\asset51,ELIF,25,27,1
